Attribute,MCK,MCMAS,SMCDEL
Authors,"van der Meyden et al., UNSW","Lomuscio, Raimondi, Qu, Imperial College","Gattinger, ILLC Amsterdam"
First release,2004,2006,2019
Latest release,No public versioning,1.3.0 (undated),1.3.0 (April 2024)
Actively maintained?,Uncertain — website live; used in 2025 papers; no public repo,Low — no releases in years; Lomuscio's group shifted to neural net verification,"Yes — last commit May 2024, on GitHub + Hackage"
Spec language,Custom (environment + agents + protocols),"ISPL (agent-based: local states, actions, protocols, evolution)",Custom knowledge structures / Haskell library
Temporal logic,CTL* (linear + branching),CTL + ATL (strategic reasoning),None — pure epistemic/dynamic
Epistemic logic,"K_i with multiple semantics (observational, perfect recall, sync/async)","K, E, C, D","S5, K, DEL, public announcements, C, D"
Technique,OBDD + bounded (SAT) + explicit-state,OBDD symbolic,BDD on boolean formulas (non-Kripke)
Implementation,Unknown language,C++,Haskell
Distinctive strength,Multiple knowledge semantics; knowledge-based program synthesis,Strategic reasoning (ATL); mature agent modeling paradigm,Novel symbolic approach avoids state-space explosion for certain problem classes; web interface
